Hotel_Name,Address,Zipcode,Num_Rooms,Website,Longitude,Latitude,is_large_hotel,has_coordinates
MOTEL 6 WASHINGTON DC,6711 GEORGIA AVENUE NW,20012,72.0,https://www.motel6.com/en/motels.dc.washington.4063.html?ncr=true,-8574583.42380329,4717672.12230263,0,1
EMBASSY SUITES BY HILTON WASHINGTON DC CHEVY CHASE PAVILION,4300 MILITARY ROAD NW,20015,198.0,http://www.embassysuitesdcmetro.com/,-8581050.12166392,4716054.30850869,1,1
INTERNATIONAL GUEST HOUSE,1441 KENNEDY STREET NW,20011,12.0,https://igh-dc.com/,-8575540.46751526,4715432.4959192,0,1
DAYS INN BY WYNDHAM WASHINGTON DC/CONNECTICUT AVENUE,4400 CONNECTICUT AVENUE NW,20008,155.0,http://www.dcdaysinn.com/,-8578904.3360595,4714076.46902836,1,1
ASANTE SANA INN,1207 KENYON STREET NW,20010,6.0,,-8574762.83766631,4711638.71005815,0,1
THE KALORAMA GUEST HOUSE,2700 CATHEDRAL AVENUE NW,20008,11.0,http://kaloramaguesthouse.com/,-8577782.59903509,4711386.72047161,0,1
LUXBNB,5185 MACARTHUR BOULEVARD NW,20016,,https://www.luxbnb.com/,-8583036.84194258,4711183.64738197,0,1
WOODLEY PARK GUEST HOUSE,2647 WOODLEY ROAD NW,20008,15.0,http://www.dcinns.com/woodley.html,-8577582.79889452,4711059.54150811,0,1
WASHINGTON MARRIOTT WARDMAN PARK,2660 WOODLEY ROAD NW,20008,1300.0,http://www.marriott.com/hotels/travel/wasdt-washington-marriott-wardman-park/,-8577690.08858629,4710894.66537117,1,1
ADAM'S INN,1746 LANIER PLACE NW,20009,26.0,http://adamsinn.com/,-8576231.71511286,4710869.06497749,0,1
KIMPTON GLOVER PARK HOTEL,2505 WISCONSIN AVENUE NW,20007,150.0,https://www.gloverparkhotel.com,-8579700.06261153,4710693.05175542,1,1
THE LINE DC,1770 EUCLID STREET NW,20009,,https://www.thelinehotel.com/dc/,-8576243.34605278,4710615.41509619,0,1
OMNI SHOREHAM HOTEL,2500 CALVERT STREET NW,20008,832.0,https://www.omnihotels.com/hotels/washington-dc-shoreham,-8577574.94005963,4710595.51117624,1,1
HIGHROAD HOSTE,1804 BELMONT ROAD NW,20009,,http://highroadhostels.com/,-8576308.66021367,4710277.97956129,0,1
WINDSOR PARK HOTEL,2116 KALORAMA ROAD NW,20008,43.0,http://www.windsorparkhotel.com/,-8577005.48921802,4709955.34274495,0,1
DAYS INN BY WYNDHAM WASHINGTON DC/GATEWAY,2700 NEW YORK AVENUE NE,20002,195.0,https://www.wyndhamhotels.com/days-inn/washington-district-of-columbia/days-inn-washington-dc-gateway/overview,-8568328.19602156,4709930.37632468,1,1
AMERICAN GUEST HOUSE,2005 COLUMBIA ROAD NW,20009,12.0,http://www.americanguesthouse.com/,-8576715.38080132,4709892.49341421,0,1
QUALITY INN  & SUITES NEW YORK AVE,1600 NEW YORK AVENUE NE,20002,134.0,https://www.choicehotels.com/district-of-columbia/washington/quality-inn-hotels/dc012,-8569371.48883321,4709851.39446334,1,1
THE NORMANDY HOTEL,2118 WYOMING AVENUE NW,20008,75.0,http://www.thenormandydc.com/,-8576892.69605187,4709832.09625495,0,1
"FAIRFIELD INN & SUITES WASHINGTON, DC/NEW YORK AVENUE",2305 NEW YORK AVENUE NE,20002,126.0,http://www.marriott.com/hotels/travel/wasna-fairfield-inn-and-suites-washington-dc-new-york-avenue/,-8568427.17673667,4709766.87687645,1,1
IVY CITY HOTEL,1615 NEW YORK AVENUE NE,20002,58.0,https://www.ivycityhotel.com/,-8569427.10616341,4709741.23509367,0,1
WASHINGTON HILTON,1919 CONNECTICUT AVENUE NW,20009,1070.0,http://www3.hilton.com/en/hotels/district-of-columbia/washington-hilton-DCAWHHH/index.html,-8576636.78574022,4709713.92293679,1,1
THE CHURCHILL HOTEL NEAR EMBASSY ROW,1914 CONNECTICUT AVENUE NW,20009,173.0,http://www.thechurchillhotel.com/,-8576828.66591831,4709701.06606506,1,1
THE BIRDHOUSE BED AND BREAKFAST,327 T STREET NW,20001,7.0,https://www.birdhousebnb.com/index.htm,-8573497.61911557,4709658.80462221,0,1
"COURTYARD WASHINGTON, DC/DUPONT CIRCLE",1900 CONNECTICUT AVENUE NW,20009,147.0,http://www.marriott.com/hotels/travel/wasnw-courtyard-washington-dc-dupont-circle/,-8576818.87240113,4709651.66981462,1,1
