X,Y,NAME,ADDRESS,PHONE,NUMROOMS,WEB_URL,GIS_ID,OBJECTID,ZIPCODE,XCOORD,YCOORD,MAR_ID,SE_ANNO_CAD_DATA,CREATED,EDITED,GLOBALID
-8574583.42380329,4717672.12230263,MOTEL 6 WASHINGTON DC,6711 GEORGIA AVENUE NW,202-722-1600,72,https://www.motel6.com/en/motels.dc.washington.4063.html?ncr=true,temp_62,1,20012,397678.38,144905.56,285354,,,,{1142D291-C226-42A4-84E6-B252646D5A51}
-8581050.12166392,4716054.30850869,EMBASSY SUITES BY HILTON WASHINGTON DC CHEVY CHASE PAVILION,4300 MILITARY ROAD NW,202-362-9300,198,http://www.embassysuitesdcmetro.com/,temp_37,2,20015,392643.24,143654.27,301908,,,,{0BE95693-60CB-406A-A816-51AD06DC2E08}
-8575540.46751526,4715432.4959192,INTERNATIONAL GUEST HOUSE,1441 KENNEDY STREET NW,202-726-5808,12,https://igh-dc.com/,temp_53,3,20011,396932.7,143169.27,255891,,,,{63CEFF8E-6AB7-4886-A1D2-3F8A476BB422}
-8578904.3360595,4714076.46902836,DAYS INN BY WYNDHAM WASHINGTON DC/CONNECTICUT AVENUE,4400 CONNECTICUT AVENUE NW,202-244-5600,155,http://www.dcdaysinn.com/,temp_29,4,20008,394312.78,142119.11,222132,,,,{4CBB73B8-C6F9-4FF9-BF56-11196E23925B}
-8574762.83766631,4711638.71005815,ASANTE SANA INN,1207 KENYON STREET NW,202-570-1281,6,,temp_6,5,20010,397537.26,140226.6,231121,,,,{434825F8-89DB-42FA-A891-E5899A320F90}
-8577782.59903509,4711386.72047161,THE KALORAMA GUEST HOUSE,2700 CATHEDRAL AVENUE NW,202-588-8188,11,http://kaloramaguesthouse.com/,temp_91,6,20008,395185.03,140032.2,284453,,,,{98A100F1-477F-4685-AA99-8A4777D121C4}
-8583036.84194258,4711183.64738197,LUXBNB,5185 MACARTHUR BOULEVARD NW,202-341-8799,,https://www.luxbnb.com/,temp_151,7,20016,391092.19,139878.21,275285,,,,{8E13FABB-3C6F-4682-8D2C-296165ADD81A}
-8577582.79889452,4711059.54150811,WOODLEY PARK GUEST HOUSE,2647 WOODLEY ROAD NW,202-667-0218,15,http://www.dcinns.com/woodley.html,temp_132,8,20008,395340.51,139778.29,219986,,,,{197865A7-6851-4CDC-8398-BE9CC438599A}
-8577690.08858629,4710894.66537117,WASHINGTON MARRIOTT WARDMAN PARK,2660 WOODLEY ROAD NW,202-328-2000,1300,http://www.marriott.com/hotels/travel/wasdt-washington-marriott-wardman-park/,temp_127,9,20008,395256.86,139650.43,284450,,,,{207690BE-6EE9-4E63-8C74-BE305C863AB8}
-8576231.71511286,4710869.06497749,ADAM'S INN,1746 LANIER PLACE NW,202-745-3600,26,http://adamsinn.com/,temp_2,10,20009,396392.87,139629.97,307146,,,,{680D04F3-C690-4FB1-B2C1-D7FE9A395B05}
